player_a,player_b,score_a,score_b,winner,round,round_name
Kim Woo-jin (South Korea),Tai Yu-hsuan (Chinese Taipei),5,4,Kim Woo-jin (South Korea),1/8 eliminations,Competition bracket
Lim Si-hyeon (South Korea),Lei Chien-ying (Chinese Taipei),5,4,Lim Si-hyeon (South Korea),1/8 eliminations,Competition bracket
Mauro Nespoli (Italy),Baptiste Addis (France),6,0,Mauro Nespoli (Italy),1/8 eliminations,Competition bracket
Chiara Rebagliati (Italy),Amélie Cordeau (France),6,0,Chiara Rebagliati (Italy),1/8 eliminations,Competition bracket
Dhiraj Bommadevara (India),Arif Dwi Pangestu (Indonesia),5,1,Dhiraj Bommadevara (India),1/8 eliminations,Competition bracket
Ankita Bhakat (India),Diananda Choirunisa (Indonesia),5,1,Ankita Bhakat (India),1/8 eliminations,Competition bracket
Pablo Acha (Spain),Wang Yan (China),6,2,Pablo Acha (Spain),1/8 eliminations,Competition bracket
Elia Canales (Spain),Yang Xiaolei (China),6,2,Elia Canales (Spain),1/8 eliminations,Competition bracket
Brady Ellison (United States),Amirkhon Sadikov (Uzbekistan),6,0,Brady Ellison (United States),1/8 eliminations,Competition bracket
Casey Kaufhold (United States),Ziyodakhon Abdusattorova (Uzbekistan),6,0,Casey Kaufhold (United States),1/8 eliminations,Competition bracket
Junya Nakanishi (Japan),Mete Gazoz (Turkey),5,4,Junya Nakanishi (Japan),1/8 eliminations,Competition bracket
Satsuki Noda (Japan),Elif Berra Gökkır (Turkey),5,4,Satsuki Noda (Japan),1/8 eliminations,Competition bracket
Matías Grande (Mexico),Marcus D'Almeida (Brazil),5,1,Matías Grande (Mexico),1/8 eliminations,Competition bracket
Alejandra Valencia (Mexico),Ana Luiza Caetano (Brazil),5,1,Alejandra Valencia (Mexico),1/8 eliminations,Competition bracket
Santiago Arcila (Colombia),Florian Unruh (Germany),4,5,Florian Unruh (Germany),1/8 eliminations,Competition bracket
Ana Rendón (Colombia),Michelle Kroppen (Germany),4,5,Michelle Kroppen (Germany),1/8 eliminations,Competition bracket
Kim Woo-jin (South Korea),Mauro Nespoli (Italy),6,2,Kim Woo-jin (South Korea),Quarter-finals,Competition bracket
Lim Si-hyeon (South Korea),Chiara Rebagliati (Italy),6,2,Lim Si-hyeon (South Korea),Quarter-finals,Competition bracket
Dhiraj Bommadevara (India),Pablo Acha (Spain),5,3,Dhiraj Bommadevara (India),Quarter-finals,Competition bracket
Ankita Bhakat (India),Elia Canales (Spain),5,3,Ankita Bhakat (India),Quarter-finals,Competition bracket
Brady Ellison (United States),Junya Nakanishi (Japan),5,3,Brady Ellison (United States),Quarter-finals,Competition bracket
Casey Kaufhold (United States),Satsuki Noda (Japan),5,3,Casey Kaufhold (United States),Quarter-finals,Competition bracket
Matías Grande (Mexico),Florian Unruh (Germany),1,5,Florian Unruh (Germany),Quarter-finals,Competition bracket
Alejandra Valencia (Mexico),Michelle Kroppen (Germany),1,5,Michelle Kroppen (Germany),Quarter-finals,Competition bracket
Kim Woo-jin (South Korea),Dhiraj Bommadevara (India),6,2,Kim Woo-jin (South Korea),Semi-finals,Competition bracket
Lim Si-hyeon (South Korea),Ankita Bhakat (India),6,2,Lim Si-hyeon (South Korea),Semi-finals,Competition bracket
Brady Ellison (United States),Florian Unruh (Germany),3,5,Florian Unruh (Germany),Semi-finals,Competition bracket
Casey Kaufhold (United States),Michelle Kroppen (Germany),3,5,Michelle Kroppen (Germany),Semi-finals,Competition bracket
Kim Woo-jin (South Korea),Florian Unruh (Germany),6,0,Kim Woo-jin (South Korea),Gold medal match,Competition bracket
Lim Si-hyeon (South Korea),Michelle Kroppen (Germany),6,0,Lim Si-hyeon (South Korea),Gold medal match,Competition bracket
Dhiraj Bommadevara (India),Brady Ellison (United States),2,6,Brady Ellison (United States),Bronze medal match,Competition bracket
Ankita Bhakat (India),Casey Kaufhold (United States),2,6,Casey Kaufhold (United States),Bronze medal match,Competition bracket
